,Country,Confirmed,Death,Recovered,Active,New cases,New death,New recovered,Death/100 Cases,Recovered/100 Cases,Death/100 Recovered,Population,Cases/Million People
129,Oman,116152,1256,106195,8701,418,10,495,1.08,91.43,1.18,5106622,22745.0
130,Pakistan,336260,6849,315446,13965,1167,14,430,2.04,93.81,2.17,220892331,1522.0
131,Panama,134915,2720,112565,19630,579,14,931,2.02,83.43,2.42,4314768,31268.0
132,Papua New Guinea,590,7,575,8,1,0,0,1.19,97.46,1.22,8947027,66.0
133,Paraguay,64156,1429,44006,18721,425,11,603,2.23,68.59,3.25,7132530,8995.0
134,Peru,902503,34476,830612,37415,0,0,5415,3.82,92.03,4.15,32971846,27372.0
135,Philippines,385400,7269,348830,29301,2287,31,70,1.89,90.51,2.08,109581085,3517.0
136,Poland,395480,5875,154413,235192,15578,92,7818,1.49,39.04,3.8,37846605,10450.0
137,Portugal,146847,2590,83294,60963,2506,46,1523,1.76,56.72,3.11,10196707,14401.0
138,Qatar,132917,232,129996,2689,197,0,212,0.17,97.8,0.18,2881060,46135.0
139,Romania,250704,7153,177361,66190,4041,86,1386,2.85,70.75,4.03,19237682,13032.0
140,Russia,1642665,28264,1228921,385480,18017,238,10302,1.72,74.81,2.3,145934460,11256.0
141,Rwanda,5155,35,4922,198,9,0,1,0.68,95.48,0.71,12952209,398.0
142,Saint Kitts and Nevis,19,0,19,0,0,0,0,0.0,100.0,0.0,53109,358.0
143,Saint Lucia,84,0,28,56,0,0,0,0.0,33.33,0.0,183629,457.0
144,Saint Vincent and the Grenadines,75,0,71,4,0,0,1,0.0,94.67,0.0,110854,677.0
145,San Marino,928,42,721,165,0,0,0,4.53,77.69,5.83,33938,27344.0
146,Sao Tome and Principe,949,16,904,29,0,0,0,1.69,95.26,1.77,219159,4330.0
147,Saudi Arabia,348037,5437,334672,7928,381,17,436,1.56,96.16,1.62,34813867,9997.0
148,Senegal,15637,325,15059,253,7,0,101,2.08,96.3,2.16,16743930,934.0
149,Serbia,49205,833,0,48372,802,7,0,1.69,0.0,inf,8737370,5632.0
150,Seychelles,153,0,149,4,0,0,0,0.0,97.39,0.0,98340,1556.0
151,Sierra Leone,2366,74,1802,490,0,0,0,3.13,76.16,4.11,7976985,297.0
152,Singapore,58020,28,57924,68,1,0,0,0.05,99.83,0.05,5850343,9917.0
153,Slovakia,61829,219,13012,48598,1883,0,214,0.35,21.05,1.68,5459643,11325.0
154,Slovenia,36206,388,13297,22521,557,25,512,1.07,36.73,2.92,2078932,17416.0
155,Solomon Islands,13,0,4,9,5,0,0,0.0,30.77,0.0,686884,19.0
156,Somalia,3941,104,3185,652,0,0,0,2.64,80.82,3.27,15893219,248.0
157,South Africa,727595,19465,657500,50630,772,54,2170,2.68,90.37,2.96,59308690,12268.0
158,South Sudan,2926,59,1290,1577,0,0,0,2.02,44.09,4.57,11193729,261.0
159,Spain,1240697,36257,150376,1054064,55019,379,0,2.92,12.12,24.11,93691843,13242.0
160,Sri Lanka,11335,21,5249,6065,275,0,344,0.19,46.31,0.4,21413250,529.0
161,Sudan,13866,837,6764,6265,47,0,0,6.04,48.78,12.37,43849269,316.0
162,Suriname,5212,111,5082,19,2,0,16,2.13,97.51,2.18,586634,8885.0
163,Sweden,124355,5938,0,118417,0,0,0,4.78,0.0,inf,10099270,12313.0
164,Switzerland,176177,2404,80400,93373,21926,78,15200,1.36,45.64,2.99,8654618,20356.0
165,Syria,5843,295,2061,3487,54,3,40,5.05,35.27,14.31,17500657,334.0
166,Taiwan*,563,7,519,37,5,0,1,1.24,92.18,1.35,23806638,24.0
167,Tajikistan,11096,82,10337,677,42,0,54,0.74,93.16,0.79,9537642,1163.0
168,Tanzania,509,21,183,305,0,0,0,4.13,35.95,11.48,59734213,9.0
169,Thailand,3797,59,3605,133,10,0,10,1.55,94.94,1.64,69799978,54.0
170,Timor-Leste,30,0,29,1,0,0,0,0.0,96.67,0.0,1318442,23.0
171,Togo,2364,57,1681,626,7,0,5,2.41,71.11,3.39,8278737,286.0
172,Trinidad and Tobago,5704,109,4887,708,0,0,124,1.91,85.68,2.23,1399491,4076.0
173,Tunisia,61906,1381,5032,55493,791,33,0,2.23,8.13,27.44,11818618,5238.0
174,Turkey,379775,10402,327007,42366,2302,76,1521,2.74,86.11,3.18,84339067,4503.0
175,US,9291064,231490,3674981,5384593,84089,491,44402,2.49,39.55,6.3,330541757,28109.0
176,Uganda,12971,114,7556,5301,228,2,0,0.88,58.25,1.51,45741000,284.0
177,Ukraine,414567,7584,170880,236103,6994,69,2385,1.83,41.22,4.44,43733759,9479.0
178,United Arab Emirates,135141,497,132024,2620,1234,1,1516,0.37,97.69,0.38,9890400,13664.0
179,United Kingdom,1057021,46943,2850,1007228,18967,136,9,4.44,0.27,1647.12,68395658,15455.0
180,Uruguay,3165,60,2658,447,16,1,57,1.9,83.98,2.26,3473727,911.0
181,Uzbekistan,67254,571,64466,2217,98,1,0,0.85,95.85,0.89,33469199,2009.0
182,Venezuela,92705,806,87547,4352,380,5,391,0.87,94.44,0.92,28435943,3260.0
183,Vietnam,1192,35,1065,92,12,0,2,2.94,89.35,3.29,97338583,12.0
184,West Bank and Gaza,54775,493,47169,7113,715,4,396,0.9,86.11,1.05,4543126,12057.0
185,Western Sahara,10,1,8,1,0,0,0,10.0,80.0,12.5,597330,17.0
186,Yemen,2063,601,1375,87,0,1,9,29.13,66.65,43.71,29825968,69.0
187,Zambia,16543,349,15733,461,63,0,0,2.11,95.1,2.22,18383956,900.0
188,Zimbabwe,8389,245,7939,205,15,2,12,2.92,94.64,3.09,14862927,564.0
